subjectID,0,1,2,3,4,5,6
B005,1,1,1,1,0,1,1
B008,0,0,1,1,1,0,0
B014,1,0,1,1,1,1,1
B029,0,0,1,0,0,0,0
B034,0,0,1,0,1,1,0
B043,1,1,0,1,0,0,0
B044,1,0,1,1,0,1,0
B046,1,0,0,1,1,1,0
B050,1,0,1,0,0,1,0
B061,0,0,0,1,0,0,0
B063,0,1,0,0,1,0,1
B066,0,0,1,0,0,0,0
B069,0,0,0,0,1,0,1
B081,1,1,0,0,0,0,1
B087,0,1,0,0,1,0,0
B088,0,0,0,1,0,1,0
B103,1,0,0,0,1,0,1
B109,1,0,1,1,0,1,1
B117,0,1,0,1,1,0,0
B121,1,0,0,0,0,1,0
B122,1,0,0,1,1,1,0
B123,1,0,1,1,0,0,1
B125,1,0,0,0,1,1,0
B130,1,1,0,0,0,1,0
B134,1,0,0,0,0,1,0
B146,1,1,0,1,1,0,1
B148,0,1,1,0,0,1,0
B151,1,1,1,0,1,0,0
B165,0,0,1,0,0,1,1
B168,1,1,1,0,1,1,1
B174,0,0,1,0,1,1,1
B176,0,1,0,1,1,0,0
B177,1,0,0,1,0,0,1
B178,1,0,0,1,0,0,0
B179,1,1,1,0,1,0,0
B180,1,1,0,0,0,1,1
B182,1,0,0,0,0,1,1
B185,1,0,0,1,0,1,1
B188,0,0,0,0,0,1,1
B190,0,1,0,0,1,0,0
B193,0,0,1,1,0,1,0
B195,0,0,1,1,0,0,1
B198,0,0,0,1,0,0,1
B199,1,1,0,1,0,0,0
B208,1,1,1,0,1,0,0
B209,1,0,0,0,1,1,0
B211,0,0,0,0,1,0,1
B221,1,1,1,1,0,0,0
B224,1,1,0,0,1,1,1
B226,1,1,0,1,1,0,0
B228,1,1,1,1,0,0,1
B230,1,0,1,0,1,1,0
B235,0,1,0,1,1,0,0
B236,0,1,1,0,0,0,0
B243,1,0,1,0,0,1,0
B266,0,0,1,0,1,0,1
B272,1,1,1,1,0,0,0
B287,0,0,0,1,1,0,1
B288,0,0,0,0,1,0,0
B291,0,0,1,0,0,1,0
B294,1,0,0,0,0,0,0
B295,1,0,0,1,0,1,1
B299,0,1,0,0,0,1,1
B301,0,0,0,0,0,1,1
B304,1,1,0,1,0,0,0
B315,1,0,0,0,0,1,0
B321,1,1,1,0,0,0,1
B325,0,0,0,1,1,1,0
B327,1,1,1,1,1,1,0
B334,1,0,0,0,0,0,0
B336,0,1,0,0,1,0,1
B341,1,1,0,1,1,0,1
B346,0,0,0,0,1,0,1
B349,0,1,0,0,1,1,0
B352,1,0,0,0,0,1,0
B358,0,0,1,1,0,0,1
B362,1,0,1,0,0,0,0
B363,1,1,1,0,1,1,1
B364,1,1,0,1,1,0,0
B372,0,0,0,1,0,0,0
B375,0,1,1,1,0,0,0
B379,1,1,0,1,1,0,0
B385,1,0,1,1,0,0,1
B386,0,0,1,0,0,0,0
B388,0,1,1,0,1,0,0
B391,1,0,0,1,0,1,0
B399,0,0,0,0,1,0,0
B400,1,1,1,0,0,1,1
B402,1,1,1,1,1,0,0
B405,0,0,1,0,0,0,0
B421,1,0,0,0,1,0,1
B426,0,0,1,1,0,0,1
B436,0,0,0,0,1,1,0
B438,0,1,1,0,0,1,0
B440,0,1,1,0,1,1,1
B441,1,0,0,0,1,1,0
B443,0,0,1,0,1,0,0
B453,1,0,1,0,0,0,0
B454,1,1,0,1,1,0,1
B456,1,1,0,0,0,0,0
B461,1,0,1,0,0,0,1
B470,0,0,0,0,0,0,1
B475,0,1,1,1,1,1,0
B493,0,1,0,0,0,1,0
B503,0,0,1,0,0,1,1
B511,1,1,0,0,1,0,1
B512,0,0,0,1,1,0,1
B522,0,0,1,1,1,1,0
B543,0,1,1,0,0,1,0
B547,1,1,1,0,0,0,0
B559,0,0,0,1,0,1,1
B562,0,1,1,0,1,1,0
B576,1,0,1,0,1,1,1
B582,0,0,0,0,0,0,1
B583,1,0,0,1,0,0,0
B590,1,0,1,1,0,0,0
B608,0,1,1,1,0,1,1
B620,1,0,1,0,0,1,0
B621,1,0,1,1,0,0,1
B634,0,1,1,0,1,1,1
B635,1,0,1,1,0,0,0
B640,1,1,0,0,0,0,1
B644,0,0,0,1,1,1,0
B645,1,1,1,0,0,1,1
B651,0,0,0,1,1,1,1
B666,1,1,1,0,0,1,0
B680,0,0,1,0,1,1,0
B686,0,0,0,0,0,1,0
B688,0,0,1,1,1,0,1
B689,1,0,0,1,1,0,1
B692,0,0,0,0,1,1,0
B702,1,0,0,1,0,1,0
B728,0,0,0,1,1,0,1
B754,0,0,0,1,1,1,1
B778,0,1,0,1,1,0,0
B782,0,0,0,0,0,1,1
B791,1,0,0,0,0,0,0
B809,1,1,0,1,1,1,0
B819,0,1,1,1,1,1,0
B836,1,1,1,1,1,0,0
B853,1,0,0,0,0,1,1
B877,0,0,0,1,0,1,0
B900,1,1,1,0,0,1,1
B906,1,0,1,0,0,1,1
B911,0,1,0,1,0,1,0
B917,0,1,1,0,1,0,1
B928,0,1,1,1,0,1,0
B937,1,1,0,1,0,0,0
B941,1,1,0,1,0,0,1
B945,0,1,1,0,0,0,1
B956,0,0,0,1,1,0,0
B957,0,1,0,1,1,0,0
B964,0,0,0,1,1,0,1
B972,1,1,0,1,1,1,1
B977,0,1,0,1,0,0,0
B988,0,0,1,0,1,0,1
B991,1,1,1,1,0,0,1
