subjectID,0,1,2,3,4
E002338,0,1,0,1,1
E002473,1,1,0,1,0
E004071,0,0,1,1,1
E004781,0,1,0,1,1
E004934,1,0,1,0,1
E005804,1,1,1,1,0
E006871,1,0,1,1,0
E007303,0,0,0,1,0
E007743,0,0,1,1,1
E007980,1,0,1,1,0
E008241,1,1,1,0,1
E008437,0,1,0,0,0
E008643,1,0,1,1,1
E009667,0,1,1,1,1
E009676,0,1,1,0,1
E011183,0,1,1,0,1
E012115,1,1,1,0,0
E012124,1,1,1,0,0
E012393,1,0,0,0,0
E012678,1,0,0,0,1
E013394,1,0,0,1,1
E015208,0,1,0,0,0
E015378,1,0,0,1,1
E015991,1,0,1,0,1
E016148,1,0,1,1,0
E016870,0,0,0,1,0
E017049,1,0,0,1,0
E018421,1,1,0,1,1
E018574,1,0,0,1,1
E019187,0,1,1,1,0
E019349,0,1,0,1,0
E019793,1,1,1,0,1
E020781,1,0,1,1,0
E020808,0,1,1,0,0
E022083,1,1,1,1,0
E022960,1,0,1,1,0
E023535,0,1,1,1,1
E023681,1,0,1,0,0
E024646,0,1,0,0,1
E025671,0,1,0,0,1
E025912,0,0,0,1,0
E025921,0,1,1,1,1
E029310,1,1,0,0,1
E029796,1,0,0,1,1
E030828,0,1,1,0,1
E030933,0,1,1,0,1
E031941,1,0,1,1,0
E033036,0,0,1,1,0
E033156,0,1,1,0,1
P000648,1,1,1,0,1
P004113,1,1,1,0,0
P005558,0,0,1,1,1
P008579,1,1,1,1,0
P009291,1,0,1,1,1
P009746,1,1,0,0,1
P014839,1,0,0,1,0
P015091,0,1,1,0,1
P015163,1,0,0,1,0
P016803,1,0,1,0,1
P019475,1,1,0,0,0
T000094,1,0,1,1,0
T000272,0,0,1,1,0
T000461,1,1,1,0,1
T002534,1,0,1,1,1
T003353,1,0,1,0,0
T003355,1,1,1,0,1
T003950,0,1,0,0,0
T004341,1,1,1,0,1
T005643,0,0,1,1,0
T005999,1,0,1,1,0
T006266,0,0,1,1,1
T006288,0,1,0,1,1
T007748,1,0,1,1,1
T007750,1,0,0,0,1
T008025,0,0,1,0,0
T008246,1,0,0,1,0
T008631,0,0,0,1,0
T009275,1,1,0,0,0
T009280,1,1,1,0,0
T009909,1,0,0,1,1
T010520,1,0,1,1,1
T010532,1,0,1,1,0
T011676,0,1,1,1,1
T012121,1,0,1,1,0
T012138,0,0,1,0,0
T012312,0,1,0,1,1
T012374,0,1,0,0,1
T012389,1,0,0,0,0
T012983,0,0,1,0,0
T013431,0,1,0,1,1
T013832,1,0,1,1,1
T014575,1,1,1,0,0
T014806,1,1,1,0,1
T014827,1,0,1,0,1
T016234,1,0,0,0,0
T016811,0,1,0,0,1
T016812,0,1,1,0,1
T016834,1,0,1,1,0
T017394,1,1,0,0,0
T017419,0,1,1,0,0
T018343,0,1,0,1,1
T019021,0,1,1,0,1
T019031,0,1,0,1,1
T019850,1,0,0,1,0
T019852,1,0,0,1,0
T019853,0,1,0,1,1
T020231,1,0,1,0,1
T021076,0,0,1,0,1
T021613,0,1,0,1,1
T022883,1,0,0,1,0
T023390,0,0,1,1,0
T023909,1,1,1,0,1
T024121,1,0,1,0,0
T025415,0,0,0,1,0
T028183,1,1,0,1,1
T029687,1,0,1,0,0
